,Unnamed: 0,Asin,Rating,Subject,Review,ProductName,Url
16,16,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest cleanser,Best cleanser. So light and stillcleans your face,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=17
17,17,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest,"My favorite face wash so far, been using it for 3 years now",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=18
18,18,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsSuperb,Very happy with the productIts soft on your skinWill recommend,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=19
19,19,B07J6TCPK6,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsNoice,It's good,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=20
20,20,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsFor dry skin,Superb…Hydrating🥰,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=21
21,21,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest for sensitive skin,"If you have very sensitive skin and you are looking for a gentle, paraben free cleanser, its the one. Though it's expensive but worth it.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=22
22,22,B07J6TCPK6,4.0 out of 5 stars,4.0 out of 5 starsQuite good,"It has moisturizing after effect, doesn't dry your skin.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=23
23,23,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsCorrect description,Liked the quality and price,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=24
24,24,B07J6TCPK6,3.0 out of 5 stars,3.0 out of 5 starsGood,Good for use,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=25
25,25,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsBest in the market,I am very always very skeptical about putting anything on my face before cetaphil I was using Tiege Hanley but that was 3x-4x the price but Cetaphil is the best. I have done some good research consulted my dermatologist. Its great,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=26
26,26,B07J6TCPK6,5.0 out of 5 stars,5.0 out of 5 starsAmazing,It's amazing,Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=27
27,27,B07J6TCPK6,3.0 out of 5 stars,3.0 out of 5 starsDefective bottle,"The pump was broken, and a lot of product had leaked out. Return/refund was denied despite putting in a complaint. Will not be buying on Amazon again.",Cetaphil Face Wash,https://www.amazon.in/Cetaphil-Gentle-Skin-Cleanser-500ml/dp/B07J6TCPK6/ref=sr_1_1?crid=798AIIGATJA3&dib=eyJ2IjoiMSJ9.szTvN-kpXRpyjQtr12kesxwL8KOcgpyNQOeAE0kvxT2S5F0KKTyVICXJMEq4i3dfdFUo-I57iD7T1x0L329MzFz221FsVz6OMFHIf_YApgTUEOoN8vTAYbEH0PJYmtm6RlzXrArFVLSn-3PiwiKbUw.F4kQd8QGLkCncS2WrLB1zeF-aaIWvFfW7M-sFAz7oq4&dib_tag=se&keywords=cetaphil+face+wash+B07J6TCPK6&qid=1709302286&sprefix=cetaphil+face+wash+b07j6tcpk6%2Caps%2C353&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=28
